Row,Ticker,Date,Open,Close,High,Low
1,VTI,2023-01-04,184.8065105140033,185.37586975097656,186.30225832611652,183.48446976265436
2,VTI,2023-01-05,184.5266610633145,183.20462036132812,184.57491384087407,182.82827225585197
3,VTI,2023-01-06,184.43016669312718,187.24795532226562,187.82695923873408,183.20463147193627
4,VTI,2023-01-09,188.61827163341934,187.32516479492188,189.99820992099524,187.21901456320975
5,VTI,2023-01-10,186.87162685832027,188.80162048339844,188.80162048339844,186.5242274168189
6,VTI,2023-01-11,189.67011803668197,191.2913055419922,191.3106096002979,189.284110493978
7,VTI,2023-01-12,191.83168962449952,192.2176971435547,192.80634572601772,189.74730792032668
8,VTI,2023-01-13,190.70262802885458,193.0379180908203,193.2598779160003,190.39383676616055
9,VTI,2023-01-17,193.03792802635877,192.7773895263672,193.8485364225969,192.3624333000609
10,VTI,2023-01-18,193.3853421644958,189.73765563964844,194.05119227572192,189.6797581907908
11,VTI,2023-01-19,188.5700126827809,188.19366455078125,189.3709617277405,187.51816979138204
12,VTI,2023-01-20,188.99460523341273,191.802734375,191.85098715382523,188.1067953321345
13,VTI,2023-01-23,192.22733275737073,194.23452758789062,195.08372936513996,191.74483442478464
14,VTI,2023-01-24,193.38534076711605,193.9160919189453,194.40824968004233,192.74845410960262
15,VTI,2023-01-25,191.98610465073762,194.01260375976562,194.1573473855467,190.67370845315463
16,VTI,2023-01-26,195.2670645508724,196.01010131835938,196.16450430563432,193.81956967569818
17,VTI,2023-01-27,195.50834528113126,196.8014373779297,197.8725843475897,195.48904122343347
18,VTI,2023-01-30,195.1995309980792,194.1669921875,196.48297837406878,194.0511825708948
19,VTI,2023-01-31,194.5915719195797,197.27426147460938,197.33217364333396,194.39857553120618
20,VTI,2023-02-01,196.77250416866207,199.67713928222656,201.02814365864106,195.42149979224757
21,VTI,2023-02-02,201.6843094436874,202.65895080566406,203.4985079438826,200.81581830724727
22,VTI,2023-02-03,200.24649067936568,200.56494140625,202.8230304972298,199.79294098271376
23,VTI,2023-02-06,199.1849788230883,199.0595245361328,199.8218801996108,198.30682826376312
24,VTI,2023-02-07,198.7893468992984,201.56854248046875,202.22473325675446,197.85329879660378
25,VTI,2023-02-08,200.63250092778335,199.41659545898438,201.4045013616099,199.04024727213792
26,VTI,2023-02-09,201.16322325887506,197.4769287109375,201.307966877383,196.95583695962748
27,VTI,2023-02-10,196.87863180241885,197.83396911621094,197.99801678903705,196.3478806699337
28,VTI,2023-02-13,198.21998127058134,200.18856811523438,200.2368208965313,197.81468441211402
29,VTI,2023-02-14,199.41656052817447,200.26576232910156,201.35621330304832,198.12346849471254
30,VTI,2023-02-15,199.23322982145388,201.16322326660156,201.20181665664467,198.8279182402532
31,VTI,2023-02-16,198.76038709596943,198.48052978515625,200.73863343136026,198.34543082552716
32,VTI,2023-02-17,197.60238839796554,197.9015350341797,198.046278656644,196.4057871284271
33,VTI,2023-02-21,196.0390777014399,193.80029296875,196.37683244318032,193.62658590238362
34,VTI,2023-02-22,193.96432579437942,193.63623046875,194.8907290531522,192.9317723155877
35,VTI,2023-02-23,195.01617686198517,194.6687774658203,195.37323564881186,192.4010440871082
36,VTI,2023-02-24,192.3141916005429,192.49754333496094,192.9317889179775,191.2237553098002
37,VTI,2023-02-27,194.26348508335198,193.1826934814453,194.95828389162946,192.72914385035637
38,VTI,2023-02-28,193.24059154802904,192.53614807128906,194.04154058582657,192.53614807128906
39,VTI,2023-03-01,192.40106582945214,192.99935913085938,192.99935913085938,191.2623619537451
40,VTI,2023-03-02,191.05967751305323,193.2984619140625,193.77131553750857,190.58682388960716
41,VTI,2023-03-03,194.04154974583383,196.44439697265625,196.56983653833507,193.87750206403695
42,VTI,2023-03-06,196.72423370275064,196.183837890625,197.80502532700194,195.92328465096386
43,VTI,2023-03-07,195.9908455194469,193.25990295410156,196.34788960451053,192.95109692671974
44,VTI,2023-03-08,193.3853489292884,193.51080322265625,193.96435288748216,192.42035214875366
45,VTI,2023-03-09,193.77132365723736,189.68939208984375,194.68806749853988,189.25513183240798
46,VTI,2023-03-10,189.3805999129761,186.49525451660156,190.10434742856708,185.5302578291469
47,VTI,2023-03-13,184.21787455451428,185.72328186035156,188.32877015271137,183.52307571326074
48,VTI,2023-03-14,188.65685500068665,189.033203125,190.05609727186805,186.794418436046
49,VTI,2023-03-15,185.8873359436354,187.57608032226562,187.59536965625006,184.82583358719486
50,VTI,2023-03-16,186.5628119876493,190.81845092773438,190.9824985981984,186.05136491953178
51,VTI,2023-03-17,190.34561809547426,188.35772705078125,190.5193104509837,187.57608200162358
52,VTI,2023-03-20,188.89813415598064,189.99822998046875,190.47108373977844,188.45422912431405
53,VTI,2023-03-21,191.80275479633357,192.70985412597656,193.04760888903337,191.29130768062973
54,VTI,2023-03-22,192.85458980488548,189.26480102539062,194.35998224957416,189.2551416349243
55,VTI,2023-03-23,190.72393096227324,189.60971069335938,192.75856899363006,188.20483840848567
56,VTI,2023-03-24,188.81524618282003,190.8014373779297,190.8402008378515,187.6235137250403
57,VTI,2023-03-27,192.09974343237863,191.28587341308594,192.41947544282792,190.7917501881705
58,VTI,2023-03-28,191.0630495967608,191.0146026611328,191.4990424495546,190.03603961073532
59,VTI,2023-03-29,192.8942348464911,193.7662353515625,193.86311444061752,192.42917678081062
60,VTI,2023-03-30,195.00639502736172,194.8126220703125,195.31642880185467,193.89217465245304
61,VTI,2023-03-31,195.29705746105378,197.74832153320312,197.83551714432417,195.29705746105378
62,VTI,2023-04-03,197.3801474609947,198.27151489257812,198.61062865612715,197.0022850195199
63,VTI,2023-04-04,198.62027955854532,196.94412231445312,198.6784099578659,196.22714622700383
64,VTI,2023-04-05,196.38218185589196,196.22715759277344,196.83755638884801,195.30672505438926
65,VTI,2023-04-06,195.94619621101978,196.87631225585938,197.01195479506214,195.18077312386072
66,VTI,2023-04-10,195.7136626772244,197.32200622558594,197.34137317152172,195.37454893228167
