Row,Ticker,Date,Open,Close,High,Low
1,AAPL,2023-01-04,125.26735425148367,124.74413299560547,127.0147240465149,123.4805025968435
2,AAPL,2023-01-05,125.50427521319664,123.42125701904297,126.1360903730334,123.16458728849297
3,AAPL,2023-01-06,124.39858171183529,127.96240997314453,128.62384018148796,123.29290160052527
4,AAPL,2023-01-09,128.80157186038267,128.48565673828125,131.70397802412538,128.22898699932045
5,AAPL,2023-01-10,128.5942214648839,129.05821228027344,129.5814334016857,126.48158852267441
6,AAPL,2023-01-11,129.57158328133335,131.78294372558594,131.8026771210122,128.7916923794983
7,AAPL,2023-01-12,132.16793979306604,131.70394897460938,132.54307008824253,129.75914024116136
8,AAPL,2023-01-13,130.34161256817276,133.0366973876953,133.19465493922883,129.97634891095512
9,AAPL,2023-01-17,133.10579321952497,134.20159912109375,135.53432625738486,132.41474784548592
10,AAPL,2023-01-18,135.0703691429246,133.48095703125,136.83747220518643,133.3032510170013
11,AAPL,2023-01-19,132.36540678256628,133.54019165039062,134.50765533885576,132.0593734264766
12,AAPL,2023-01-20,133.55005775379874,136.10693359375,136.2550244536786,132.50361529041555
13,AAPL,2023-01-23,136.35371175932897,139.30548095703125,141.48722602727366,136.1365239219778
14,AAPL,2023-01-24,138.51572440513698,140.70733642578125,141.32928485597137,138.50585770726414
15,AAPL,2023-01-25,139.0883167228264,140.04591369628906,140.60861677861874,137.03491367991992
16,AAPL,2023-01-26,141.33914314056878,142.11904907226562,142.40533393014599,140.08537965694651
17,AAPL,2023-01-27,141.3292912944412,144.06385803222656,145.34723680622537,141.25031251687773
18,AAPL,2023-01-30,143.10628343226185,141.1713409423828,143.68873499989203,141.0232651416844
19,AAPL,2023-01-31,140.87517571941848,142.44483947753906,142.49420309949798,140.4605484095562
20,AAPL,2023-02-01,142.1289150988489,143.5702362060547,144.73515421762997,139.51280928282884
21,AAPL,2023-02-02,146.9958966630842,148.891357421875,149.24673936752703,146.27523594496205
22,AAPL,2023-02-03,146.13702755609475,152.5242919921875,155.36746808076367,145.9395881196466
23,AAPL,2023-02-06,150.61895772492184,149.78968811035156,151.14217893420934,148.85183962560956
24,AAPL,2023-02-07,148.7136179890826,152.67233276367188,153.24491754252153,148.7136179890826
25,AAPL,2023-02-08,151.91219134400382,149.9772491455078,152.60323674930237,149.23684012618935
26,AAPL,2023-02-09,151.81347999768036,148.94068908691406,152.35644968138112,148.49644664158131
27,AAPL,2023-02-10,147.77401547814478,149.3065185546875,149.63279778324025,147.5367173791987
28,AAPL,2023-02-13,149.24719136406156,152.11448669433594,152.5198501850578,149.21753098880535
29,AAPL,2023-02-14,150.40398304690967,151.4718017578125,152.03537903023067,149.15820209418638
30,AAPL,2023-02-15,151.38283098748437,153.57778930664062,153.74586979762776,151.15542974516777
